timestep,Site,Classification,abundance
3,Acono d,Insecta Diptera Simuliidae,107
3,Acono d,Insecta Ephemeroptera Baetidae,98
3,Acono d,Insecta Ephemeroptera Euthyplocidae,1
3,Acono d,Insecta Ephemeroptera Leptophlebiidae,31
3,Acono d,Insecta Ephemeroptera Tricorythidae,58
3,Acono d,Insecta Hemiptera Veliidae,1
3,Acono d,Insecta Odonata Calopterygidae,1
3,Acono d,Insecta Odonata Coenagrionidae,19
3,Acono d,Insecta Odonata Libellulidae,10
3,Acono d,Insecta Plecoptera Perlidae,13
3,Acono d,Insecta Trichoptera Calomoceratidae,3
3,Acono d,Insecta Trichoptera Glossosomatidae,11
3,Acono d,Insecta Trichoptera Helicopsychidae,2
3,Acono d,Insecta Trichoptera Hydropsychidae,47
3,Acono d,Insecta Trichoptera Leptoceridae,4
3,Acono d,Insecta Trichoptera Philopotamidae,39
3,Acono d,Turbellaria Turbellaria,1
4,Acono d,Crustacea Decapoda Pseudothelphusidae,3
4,Acono d,Crustacea unknown,1
4,Acono d,Insecta Coleoptera Elmidae,72
4,Acono d,Insecta Coleoptera Psephenidae,45
4,Acono d,Insecta Coleoptera unknown,5
4,Acono d,Insecta Diptera Chironomidae,59
4,Acono d,Insecta Diptera Simuliidae,282
4,Acono d,Insecta Ephemeroptera Baetidae,395
4,Acono d,Insecta Ephemeroptera Euthyplocidae,1
4,Acono d,Insecta Ephemeroptera Leptophlebiidae,43
4,Acono d,Insecta Ephemeroptera Tricorythidae,99
4,Acono d,Insecta Hemiptera Veliidae,3
4,Acono d,Insecta Odonata Calopterygidae,1
4,Acono d,Insecta Odonata Coenagrionidae,11
4,Acono d,Insecta Odonata Libellulidae,14
4,Acono d,Insecta Plecoptera Perlidae,39
4,Acono d,Insecta Trichoptera Glossosomatidae,160
4,Acono d,Insecta Trichoptera Hydropsychidae,58
4,Acono d,Insecta Trichoptera Hydroptilidae,5
4,Acono d,Insecta Trichoptera Philopotamidae,58
4,Acono d,Oligochaeta unknown,2
4,Acono d,Turbellaria Turbellaria,3
5,Acono d,Crustacea Decapoda Pseudothelphusidae,2
5,Acono d,Insecta Coleoptera Elmidae,51
5,Acono d,Insecta Coleoptera Psephenidae,46
5,Acono d,Insecta Diptera Chironomidae,15
5,Acono d,Insecta Diptera Simuliidae,4
5,Acono d,Insecta Diptera Tipulidae,1
5,Acono d,Insecta Ephemeroptera Baetidae,76
5,Acono d,Insecta Ephemeroptera Euthyplocidae,8
5,Acono d,Insecta Ephemeroptera Leptophlebiidae,27
5,Acono d,Insecta Ephemeroptera Tricorythidae,32
5,Acono d,Insecta Odonata Calopterygidae,1
5,Acono d,Insecta Odonata Coenagrionidae,15
5,Acono d,Insecta Odonata Libellulidae,2
5,Acono d,Insecta Plecoptera Perlidae,16
5,Acono d,Insecta Trichoptera Calomoceratidae,1
5,Acono d,Insecta Trichoptera Glossosomatidae,124
5,Acono d,Insecta Trichoptera Helicopsychidae,1
5,Acono d,Insecta Trichoptera Hydropsychidae,35
5,Acono d,Insecta Trichoptera Hydroptilidae,1
5,Acono d,Insecta Trichoptera Philopotamidae,1
5,Acono d,Turbellaria Turbellaria,2
6,Acono d,Crustacea Decapoda Pseudothelphusidae,3
6,Acono d,Insecta Coleoptera Elmidae,81
6,Acono d,Insecta Coleoptera Psephenidae,221
6,Acono d,Insecta Diptera Chironomidae,46
6,Acono d,Insecta Diptera Simuliidae,2
6,Acono d,Insecta Diptera Tipulidae,4
6,Acono d,Insecta Diptera unknown,2
6,Acono d,Insecta Ephemeroptera Baetidae,15
6,Acono d,Insecta Ephemeroptera Euthyplocidae,3
6,Acono d,Insecta Ephemeroptera Leptophlebiidae,61
6,Acono d,Insecta Ephemeroptera Tricorythidae,211
6,Acono d,Insecta Hemiptera Veliidae,3
6,Acono d,Insecta Lepidoptera unknown,7
6,Acono d,Insecta Odonata Calopterygidae,2
6,Acono d,Insecta Odonata Coenagrionidae,55
6,Acono d,Insecta Odonata Libellulidae,47
6,Acono d,Insecta Plecoptera Perlidae,77
6,Acono d,Insecta Trichoptera Calomoceratidae,1
6,Acono d,Insecta Trichoptera Glossosomatidae,71
6,Acono d,Insecta Trichoptera Helicopsychidae,6
6,Acono d,Insecta Trichoptera Hydropsychidae,211
6,Acono d,Insecta Trichoptera Hydroptilidae,54
6,Acono d,Insecta Trichoptera Leptoceridae,19
6,Acono d,Insecta Trichoptera Philopotamidae,48
6,Acono d,Turbellaria Turbellaria,3
7,Acono d,Arachnoidea Chelicerata Hydracarina,1
7,Acono d,Crustacea Decapoda Pseudothelphusidae,1
7,Acono d,Insecta Coleoptera Elmidae,59
7,Acono d,Insecta Coleoptera Psephenidae,376
7,Acono d,Insecta Coleoptera unknown,10
7,Acono d,Insecta Diptera Chironomidae,149
7,Acono d,Insecta Diptera Simuliidae,5
7,Acono d,Insecta Diptera Tipulidae,2
7,Acono d,Insecta Ephemeroptera Baetidae,69
7,Acono d,Insecta Ephemeroptera Leptophlebiidae,27
7,Acono d,Insecta Ephemeroptera Tricorythidae,336
7,Acono d,Insecta Hemiptera Veliidae,4
7,Acono d,Insecta Lepidoptera unknown,3
7,Acono d,Insecta Odonata Calopterygidae,2
7,Acono d,Insecta Odonata Coenagrionidae,61
7,Acono d,Insecta Odonata Libellulidae,81
7,Acono d,Insecta Plecoptera Perlidae,100
7,Acono d,Insecta Trichoptera Calomoceratidae,4
7,Acono d,Insecta Trichoptera Glossosomatidae,34
7,Acono d,Insecta Trichoptera Helicopsychidae,45
7,Acono d,Insecta Trichoptera Hydropsychidae,213
7,Acono d,Insecta Trichoptera Hydroptilidae,12
7,Acono d,Insecta Trichoptera Leptoceridae,28
7,Acono d,Insecta Trichoptera Philopotamidae,54
8,Acono d,Insecta Coleoptera Elmidae,2
8,Acono d,Insecta Coleoptera Psephenidae,158
8,Acono d,Insecta Diptera Chironomidae,1
8,Acono d,Insecta Diptera Simuliidae,3
8,Acono d,Insecta Ephemeroptera Baetidae,16
8,Acono d,Insecta Ephemeroptera Leptophlebiidae,16
8,Acono d,Insecta Ephemeroptera Tricorythidae,22
8,Acono d,Insecta Odonata Calopterygidae,1
8,Acono d,Insecta Odonata Coenagrionidae,13
8,Acono d,Insecta Odonata Libellulidae,14
8,Acono d,Insecta Plecoptera Perlidae,30
8,Acono d,Insecta Trichoptera Glossosomatidae,6
8,Acono d,Insecta Trichoptera Helicopsychidae,2
8,Acono d,Insecta Trichoptera Hydropsychidae,24
8,Acono d,Insecta Trichoptera Leptoceridae,3
8,Acono d,Insecta Trichoptera Philopotamidae,13
8,Acono d,Turbellaria Turbellaria,1
9,Acono d,Crustacea Decapoda Pseudothelphusidae,1
9,Acono d,Insecta Coleoptera Elmidae,119
9,Acono d,Insecta Coleoptera Psephenidae,596
9,Acono d,Insecta Diptera Chironomidae,88
9,Acono d,Insecta Diptera Simuliidae,12
9,Acono d,Insecta Diptera Tipulidae,1
9,Acono d,Insecta Ephemeroptera Baetidae,66
9,Acono d,Insecta Ephemeroptera Euthyplocidae,3
9,Acono d,Insecta Ephemeroptera Leptophlebiidae,93
9,Acono d,Insecta Ephemeroptera Tricorythidae,73
9,Acono d,Insecta Hemiptera Veliidae,3
9,Acono d,Insecta Lepidoptera unknown,1
9,Acono d,Insecta Odonata Calopterygidae,4
9,Acono d,Insecta Odonata Coenagrionidae,62
9,Acono d,Insecta Odonata Libellulidae,36
9,Acono d,Insecta Plecoptera Perlidae,10
9,Acono d,Insecta Trichoptera Calomoceratidae,1
9,Acono d,Insecta Trichoptera Glossosomatidae,805
9,Acono d,Insecta Trichoptera Helicopsychidae,26
9,Acono d,Insecta Trichoptera Hydropsychidae,27
9,Acono d,Insecta Trichoptera Hydroptilidae,3
9,Acono d,Insecta Trichoptera Leptoceridae,83
9,Acono d,Insecta Trichoptera Philopotamidae,10
9,Acono d,Insecta unknown,1
9,Acono d,Turbellaria Turbellaria,10
10,Acono d,Arachnoidea Chelicerata Hydracarina,1
10,Acono d,Crustacea Decapoda Pseudothelphusidae,1
10,Acono d,Insecta Coleoptera Elmidae,77
10,Acono d,Insecta Coleoptera Psephenidae,382
10,Acono d,Insecta Coleoptera unknown,1
10,Acono d,Insecta Diptera Chironomidae,29
10,Acono d,Insecta Diptera Simuliidae,13
10,Acono d,Insecta Diptera Tipulidae,5
10,Acono d,Insecta Ephemeroptera Baetidae,27
10,Acono d,Insecta Ephemeroptera Euthyplocidae,1
10,Acono d,Insecta Ephemeroptera Leptophlebiidae,85
10,Acono d,Insecta Ephemeroptera Tricorythidae,84
10,Acono d,Insecta Hemiptera Veliidae,2
10,Acono d,Insecta Lepidoptera unknown,1
10,Acono d,Insecta Odonata Calopterygidae,1
10,Acono d,Insecta Odonata Coenagrionidae,49
10,Acono d,Insecta Odonata Libellulidae,48
10,Acono d,Insecta Plecoptera Perlidae,24
10,Acono d,Insecta Trichoptera Glossosomatidae,50
10,Acono d,Insecta Trichoptera Helicopsychidae,105
10,Acono d,Insecta Trichoptera Hydropsychidae,39
10,Acono d,Insecta Trichoptera Hydroptilidae,20
10,Acono d,Insecta Trichoptera Leptoceridae,194
10,Acono d,Insecta Trichoptera Philopotamidae,6
10,Acono d,Oligochaeta unknown,7
10,Acono d,Turbellaria Turbellaria,17
11,Acono d,Crustacea Decapoda Pseudothelphusidae,1
11,Acono d,Insecta Coleoptera Elmidae,91
11,Acono d,Insecta Coleoptera Psephenidae,420
11,Acono d,Insecta Coleoptera unknown,7
11,Acono d,Insecta Diptera Chironomidae,28
11,Acono d,Insecta Diptera Simuliidae,6
11,Acono d,Insecta Ephemeroptera Baetidae,26
11,Acono d,Insecta Ephemeroptera Euthyplocidae,2
11,Acono d,Insecta Ephemeroptera Leptophlebiidae,62
11,Acono d,Insecta Ephemeroptera Tricorythidae,109
11,Acono d,Insecta Hemiptera Veliidae,10
11,Acono d,Insecta Lepidoptera unknown,2
11,Acono d,Insecta Odonata Calopterygidae,5
11,Acono d,Insecta Odonata Coenagrionidae,102
11,Acono d,Insecta Odonata Libellulidae,36
11,Acono d,Insecta Plecoptera Perlidae,36
11,Acono d,Insecta Trichoptera Calomoceratidae,7
11,Acono d,Insecta Trichoptera Glossosomatidae,36
11,Acono d,Insecta Trichoptera Helicopsychidae,86
11,Acono d,Insecta Trichoptera Hydropsychidae,96
11,Acono d,Insecta Trichoptera Leptoceridae,140
11,Acono d,Insecta Trichoptera Philopotamidae,36
11,Acono d,Oligochaeta unknown,13
11,Acono d,Turbellaria Turbellaria,15
12,Acono d,Entognatha Collembola unknown,1
12,Acono d,Insecta Coleoptera Elmidae,60
12,Acono d,Insecta Coleoptera Psephenidae,389
12,Acono d,Insecta Diptera Chironomidae,22
12,Acono d,Insecta Diptera Simuliidae,5
12,Acono d,Insecta Diptera Tipulidae,3
12,Acono d,Insecta Ephemeroptera Baetidae,84
12,Acono d,Insecta Ephemeroptera Leptophlebiidae,38
12,Acono d,Insecta Ephemeroptera Tricorythidae,104
12,Acono d,Insecta Hemiptera Veliidae,9
12,Acono d,Insecta Lepidoptera unknown,1
12,Acono d,Insecta Odonata Coenagrionidae,51
12,Acono d,Insecta Odonata Gomphidae,6
12,Acono d,Insecta Odonata Libellulidae,26
12,Acono d,Insecta Plecoptera Perlidae,6
12,Acono d,Insecta Trichoptera Glossosomatidae,24
12,Acono d,Insecta Trichoptera Helicopsychidae,8
12,Acono d,Insecta Trichoptera Hydropsychidae,14
12,Acono d,Insecta Trichoptera Hydroptilidae,1
12,Acono d,Insecta Trichoptera Leptoceridae,38
12,Acono d,Insecta Trichoptera Philopotamidae,10
12,Acono d,Oligochaeta unknown,6
12,Acono d,Turbellaria Turbellaria,16
13,Acono d,Crustacea Decapoda Pseudothelphusidae,2
13,Acono d,Insecta Coleoptera Elmidae,46
13,Acono d,Insecta Coleoptera Psephenidae,297
13,Acono d,Insecta Diptera Chironomidae,72
13,Acono d,Insecta Diptera Simuliidae,176
13,Acono d,Insecta Diptera Tipulidae,2
13,Acono d,Insecta Ephemeroptera Baetidae,133
13,Acono d,Insecta Ephemeroptera Euthyplocidae,3
13,Acono d,Insecta Ephemeroptera Leptophlebiidae,50
13,Acono d,Insecta Ephemeroptera Tricorythidae,117
13,Acono d,Insecta Hemiptera Veliidae,6
13,Acono d,Insecta Lepidoptera unknown,2
13,Acono d,Insecta Odonata Coenagrionidae,63
13,Acono d,Insecta Odonata Libellulidae,24
13,Acono d,Insecta Plecoptera Perlidae,33
13,Acono d,Insecta Trichoptera Calomoceratidae,2
13,Acono d,Insecta Trichoptera Glossosomatidae,125
13,Acono d,Insecta Trichoptera Helicopsychidae,3
13,Acono d,Insecta Trichoptera Hydropsychidae,30
13,Acono d,Insecta Trichoptera Leptoceridae,12
13,Acono d,Insecta Trichoptera Philopotamidae,8
13,Acono d,Oligochaeta unknown,9
13,Acono d,Turbellaria Turbellaria,17
14,Acono d,Crustacea Decapoda Pseudothelphusidae,2
14,Acono d,Entognatha Collembola unknown,2
14,Acono d,Insecta Coleoptera Elmidae,103
14,Acono d,Insecta Coleoptera Psephenidae,522
14,Acono d,Insecta Diptera Chironomidae,91
14,Acono d,Insecta Diptera Simuliidae,4
14,Acono d,Insecta Diptera Tipulidae,3
14,Acono d,Insecta Ephemeroptera Baetidae,82
14,Acono d,Insecta Ephemeroptera Leptophlebiidae,47
14,Acono d,Insecta Ephemeroptera Tricorythidae,332
14,Acono d,Insecta Hemiptera Veliidae,12
14,Acono d,Insecta Lepidoptera unknown,1
14,Acono d,Insecta Odonata Calopterygidae,4
14,Acono d,Insecta Odonata Coenagrionidae,153
14,Acono d,Insecta Odonata Libellulidae,79
14,Acono d,Insecta Plecoptera Perlidae,35
14,Acono d,Insecta Trichoptera Glossosomatidae,6
14,Acono d,Insecta Trichoptera Helicopsychidae,51
14,Acono d,Insecta Trichoptera Hydropsychidae,103
14,Acono d,Insecta Trichoptera Hydroptilidae,38
14,Acono d,Insecta Trichoptera Leptoceridae,240
14,Acono d,Insecta Trichoptera Philopotamidae,12
14,Acono d,Oligochaeta unknown,17
14,Acono d,Turbellaria Turbellaria,22
15,Acono d,Crustacea Decapoda Pseudothelphusidae,3
15,Acono d,Insecta Coleoptera Elmidae,21
15,Acono d,Insecta Coleoptera Psephenidae,37
15,Acono d,Insecta Diptera Chironomidae,12
15,Acono d,Insecta Diptera Simuliidae,3
15,Acono d,Insecta Ephemeroptera Baetidae,3
15,Acono d,Insecta Ephemeroptera Euthyplocidae,1
15,Acono d,Insecta Ephemeroptera Leptophlebiidae,41
15,Acono d,Insecta Ephemeroptera Tricorythidae,14
15,Acono d,Insecta Hemiptera Veliidae,1
15,Acono d,Insecta Odonata Calopterygidae,3
15,Acono d,Insecta Odonata Coenagrionidae,47
15,Acono d,Insecta Odonata Libellulidae,5
15,Acono d,Insecta Plecoptera Perlidae,7
15,Acono d,Insecta Trichoptera Calomoceratidae,16
15,Acono d,Insecta Trichoptera Glossosomatidae,2
15,Acono d,Insecta Trichoptera Helicopsychidae,203
15,Acono d,Insecta Trichoptera Hydropsychidae,23
15,Acono d,Insecta Trichoptera Hydroptilidae,1
15,Acono d,Insecta Trichoptera Leptoceridae,429
15,Acono d,Insecta Trichoptera Philopotamidae,165
15,Acono d,Insecta unknown,1
15,Acono d,Oligochaeta unknown,7
15,Acono d,Turbellaria Turbellaria,60
16,Acono d,Crustacea Decapoda Pseudothelphusidae,2
16,Acono d,Insecta Coleoptera Elmidae,38
16,Acono d,Insecta Coleoptera Psephenidae,121
16,Acono d,Insecta Diptera Chironomidae,16
16,Acono d,Insecta Diptera Simuliidae,19
16,Acono d,Insecta Ephemeroptera Baetidae,47
16,Acono d,Insecta Ephemeroptera Leptophlebiidae,22
16,Acono d,Insecta Ephemeroptera Tricorythidae,35
16,Acono d,Insecta Hemiptera Veliidae,5
16,Acono d,Insecta Odonata Coenagrionidae,34
16,Acono d,Insecta Odonata Libellulidae,2
16,Acono d,Insecta Plecoptera Perlidae,17
16,Acono d,Insecta Trichoptera Helicopsychidae,19
16,Acono d,Insecta Trichoptera Hydropsychidae,33
16,Acono d,Insecta Trichoptera Leptoceridae,47
16,Acono d,Insecta Trichoptera Philopotamidae,12
16,Acono d,Oligochaeta unknown,7
16,Acono d,Turbellaria Turbellaria,36
17,Acono d,Crustacea Decapoda Pseudothelphusidae,6
17,Acono d,Insecta Coleoptera Elmidae,36
17,Acono d,Insecta Coleoptera Psephenidae,417
17,Acono d,Insecta Coleoptera unknown,1
17,Acono d,Insecta Diptera Chironomidae,78
17,Acono d,Insecta Diptera Simuliidae,11
17,Acono d,Insecta Diptera Tipulidae,1
17,Acono d,Insecta Ephemeroptera Baetidae,232
17,Acono d,Insecta Ephemeroptera Euthyplocidae,3
17,Acono d,Insecta Ephemeroptera Leptophlebiidae,169
17,Acono d,Insecta Ephemeroptera Tricorythidae,117
17,Acono d,Insecta Hemiptera Veliidae,2
17,Acono d,Insecta Odonata Coenagrionidae,80
17,Acono d,Insecta Odonata Libellulidae,19
17,Acono d,Insecta Plecoptera Perlidae,37
17,Acono d,Insecta Trichoptera Calomoceratidae,1
17,Acono d,Insecta Trichoptera Glossosomatidae,11
17,Acono d,Insecta Trichoptera Helicopsychidae,40
17,Acono d,Insecta Trichoptera Hydropsychidae,57
17,Acono d,Insecta Trichoptera Hydroptilidae,4
17,Acono d,Insecta Trichoptera Leptoceridae,82
17,Acono d,Insecta Trichoptera Philopotamidae,5
17,Acono d,Oligochaeta unknown,7
17,Acono d,Turbellaria Turbellaria,27
18,Acono d,Insecta Coleoptera Psephenidae,5
18,Acono d,Insecta Diptera Chironomidae,12
18,Acono d,Insecta Diptera Simuliidae,2
18,Acono d,Insecta Ephemeroptera Baetidae,4
18,Acono d,Insecta Ephemeroptera Leptophlebiidae,2
18,Acono d,Insecta Ephemeroptera Tricorythidae,7
18,Acono d,Insecta Odonata Coenagrionidae,4
18,Acono d,Insecta Trichoptera Helicopsychidae,2
18,Acono d,Insecta Trichoptera Hydropsychidae,18
18,Acono d,Insecta Trichoptera Hydroptilidae,2
18,Acono d,Insecta Trichoptera Leptoceridae,51
19,Acono d,Insecta Coleoptera Elmidae,14
19,Acono d,Insecta Coleoptera Psephenidae,29
19,Acono d,Insecta Diptera Chironomidae,305
19,Acono d,Insecta Diptera Simuliidae,10
19,Acono d,Insecta Ephemeroptera Baetidae,163
19,Acono d,Insecta Ephemeroptera Leptophlebiidae,61
19,Acono d,Insecta Ephemeroptera Tricorythidae,236
19,Acono d,Insecta Hemiptera Veliidae,3
19,Acono d,Insecta Lepidoptera unknown,1
19,Acono d,Insecta Odonata Calopterygidae,6
19,Acono d,Insecta Odonata Coenagrionidae,30
19,Acono d,Insecta Odonata Libellulidae,38
19,Acono d,Insecta Plecoptera Perlidae,11
19,Acono d,Insecta Trichoptera Glossosomatidae,5
19,Acono d,Insecta Trichoptera Helicopsychidae,73
19,Acono d,Insecta Trichoptera Hydropsychidae,173
19,Acono d,Insecta Trichoptera Hydroptilidae,85
19,Acono d,Insecta Trichoptera Leptoceridae,160
19,Acono d,Insecta Trichoptera Philopotamidae,13
19,Acono d,Oligochaeta unknown,3
19,Acono d,Turbellaria Turbellaria,2
1,Acono u,Crustacea Decapoda Pseudothelphusidae,2
1,Acono u,Insecta Coleoptera Elmidae,22
1,Acono u,Insecta Coleoptera Psephenidae,117
1,Acono u,Insecta Diptera Chironomidae,8
1,Acono u,Insecta Diptera Simuliidae,1
1,Acono u,Insecta Diptera Tipulidae,1
1,Acono u,Insecta Diptera unknown,4
1,Acono u,Insecta Ephemeroptera Baetidae,28
1,Acono u,Insecta Ephemeroptera Euthyplocidae,5
1,Acono u,Insecta Ephemeroptera Leptophlebiidae,56
1,Acono u,Insecta Ephemeroptera Tricorythidae,45
1,Acono u,Insecta Odonata Calopterygidae,1
1,Acono u,Insecta Odonata Coenagrionidae,13
1,Acono u,Insecta Odonata Gomphidae,1
1,Acono u,Insecta Odonata Libellulidae,5
1,Acono u,Insecta Plecoptera Perlidae,12
1,Acono u,Insecta Trichoptera Glossosomatidae,33
1,Acono u,Insecta Trichoptera Helicopsychidae,1
1,Acono u,Insecta Trichoptera Hydropsychidae,24
1,Acono u,Insecta Trichoptera Philopotamidae,26
1,Acono u,Oligochaeta unknown,1
1,Acono u,Turbellaria Turbellaria,2
2,Acono u,Crustacea Decapoda Pseudothelphusidae,1
2,Acono u,Insecta Coleoptera Elmidae,67
2,Acono u,Insecta Coleoptera Psephenidae,357
2,Acono u,Insecta Coleoptera unknown,9
2,Acono u,Insecta Diptera Chironomidae,28
2,Acono u,Insecta Diptera Simuliidae,10
2,Acono u,Insecta Diptera unknown,2
2,Acono u,Insecta Ephemeroptera Baetidae,15
2,Acono u,Insecta Ephemeroptera Euthyplocidae,11
2,Acono u,Insecta Ephemeroptera Leptophlebiidae,62
2,Acono u,Insecta Ephemeroptera Tricorythidae,51
2,Acono u,Insecta Hemiptera Veliidae,7
2,Acono u,Insecta Lepidoptera unknown,4
2,Acono u,Insecta Odonata Calopterygidae,4
2,Acono u,Insecta Odonata Coenagrionidae,57
2,Acono u,Insecta Odonata Libellulidae,27
2,Acono u,Insecta Plecoptera Perlidae,32
2,Acono u,Insecta Trichoptera Calomoceratidae,27
2,Acono u,Insecta Trichoptera Glossosomatidae,70
2,Acono u,Insecta Trichoptera Helicopsychidae,3
2,Acono u,Insecta Trichoptera Hydropsychidae,32
2,Acono u,Insecta Trichoptera Leptoceridae,6
2,Acono u,Insecta Trichoptera Philopotamidae,27
2,Acono u,Oligochaeta unknown,3
2,Acono u,Turbellaria Turbellaria,2
3,Acono u,Crustacea Decapoda Pseudothelphusidae,2
3,Acono u,Crustacea unknown,1
3,Acono u,Insecta Coleoptera Elmidae,33
3,Acono u,Insecta Coleoptera Psephenidae,92
3,Acono u,Insecta Coleoptera unknown,123
3,Acono u,Insecta Diptera Chironomidae,28
3,Acono u,Insecta Diptera Simuliidae,23
3,Acono u,Insecta Ephemeroptera Baetidae,37
3,Acono u,Insecta Ephemeroptera Euthyplocidae,3
3,Acono u,Insecta Ephemeroptera Leptophlebiidae,24
3,Acono u,Insecta Ephemeroptera Tricorythidae,41
3,Acono u,Insecta Hemiptera Veliidae,3
3,Acono u,Insecta Lepidoptera unknown,1
3,Acono u,Insecta Odonata Coenagrionidae,15
3,Acono u,Insecta Odonata Libellulidae,11
3,Acono u,Insecta Plecoptera Perlidae,15
3,Acono u,Insecta Trichoptera Glossosomatidae,7
3,Acono u,Insecta Trichoptera Helicopsychidae,1
3,Acono u,Insecta Trichoptera Hydropsychidae,40
3,Acono u,Insecta Trichoptera Hydroptilidae,2
3,Acono u,Insecta Trichoptera Leptoceridae,2
3,Acono u,Insecta Trichoptera Philopotamidae,60
3,Acono u,Oligochaeta unknown,2
3,Acono u,Turbellaria Turbellaria,1
4,Acono u,Crustacea Decapoda Pseudothelphusidae,2
4,Acono u,Insecta Coleoptera Elmidae,28
4,Acono u,Insecta Coleoptera Psephenidae,26
4,Acono u,Insecta Coleoptera unknown,5
4,Acono u,Insecta Diptera Chironomidae,28
4,Acono u,Insecta Diptera Simuliidae,14
4,Acono u,Insecta Ephemeroptera Baetidae,88
4,Acono u,Insecta Ephemeroptera Euthyplocidae,3
4,Acono u,Insecta Ephemeroptera Leptophlebiidae,27
4,Acono u,Insecta Ephemeroptera Tricorythidae,65
4,Acono u,Insecta Hemiptera Veliidae,1
4,Acono u,Insecta Lepidoptera unknown,1
4,Acono u,Insecta Odonata Calopterygidae,1
4,Acono u,Insecta Odonata Coenagrionidae,4
4,Acono u,Insecta Odonata Libellulidae,6
4,Acono u,Insecta Plecoptera Perlidae,36
4,Acono u,Insecta Trichoptera Calomoceratidae,2
4,Acono u,Insecta Trichoptera Glossosomatidae,48
4,Acono u,Insecta Trichoptera Helicopsychidae,1
4,Acono u,Insecta Trichoptera Hydropsychidae,38
4,Acono u,Insecta Trichoptera Hydroptilidae,4
4,Acono u,Insecta Trichoptera Leptoceridae,1
4,Acono u,Insecta Trichoptera Philopotamidae,14
5,Acono u,Insecta Coleoptera Elmidae,26
5,Acono u,Insecta Coleoptera Psephenidae,33
5,Acono u,Insecta Coleoptera unknown,3
5,Acono u,Insecta Diptera Chironomidae,8
5,Acono u,Insecta Diptera Simuliidae,2
5,Acono u,Insecta Ephemeroptera Baetidae,18
5,Acono u,Insecta Ephemeroptera Euthyplocidae,1
5,Acono u,Insecta Ephemeroptera Leptophlebiidae,18
5,Acono u,Insecta Ephemeroptera Tricorythidae,11
5,Acono u,Insecta Hemiptera Veliidae,1
5,Acono u,Insecta Odonata Coenagrionidae,4
5,Acono u,Insecta Odonata Libellulidae,6
5,Acono u,Insecta Plecoptera Perlidae,8
5,Acono u,Insecta Trichoptera Glossosomatidae,48
5,Acono u,Insecta Trichoptera Hydropsychidae,19
5,Acono u,Insecta Trichoptera Philopotamidae,7
5,Acono u,Turbellaria Turbellaria,1
6,Acono u,Crustacea Decapoda Pseudothelphusidae,2
6,Acono u,Insecta Coleoptera Elmidae,78
